state_pos_0,state_pos_1,state_pos_2,state_pos_3,state_pos_4,state_pos_5,state_pos_6,state_pos_7,state_pos_8,state_pos_9,state_vel,state_dir,state_jug,accion,recompensa,next_state_pos_0,next_state_pos_1,next_state_pos_2,next_state_pos_3,next_state_pos_4,next_state_pos_5,next_state_pos_6,next_state_pos_7,next_state_pos_8,next_state_pos_9,next_vel,next_dir,next_jug
0.75,0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.518958127816666,0,0.02,22,-1.0,0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.5348802444662529,1,0.02
0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.5348802444662529,1,0.02,2,-1.0,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5809156133600887,0,0.24
0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5809156133600887,0,0.24,18,-1.0,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5044467451830907,1,0.24
0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5044467451830907,1,0.24,21,-1.0,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.5152840791661784,0,0.24
0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.5152840791661784,0,0.24,11,-1.0,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.43072327116708586,1,0.24
0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.43072327116708586,1,0.24,3,-1.0,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.562342615624857,0,0.24
0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.562342615624857,0,0.24,16,-1.0,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.5547356991843194,1,0.24
0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.5547356991843194,1,0.24,15,-1.0,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.45323456758792424,0,0.24
0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.45323456758792424,0,0.24,3,-1.0,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.5388571068272016,1,0.24
0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.5388571068272016,1,0.24,16,-1.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.43027569945705785,0,0.24
0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.43027569945705785,0,0.24,17,-1.0,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.5675102689631086,1,0.24
0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.5675102689631086,1,0.24,30,-1.0,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5790950451532266,0,0.24
0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5790950451532266,0,0.24,18,-1.0,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.5739179595481805,1,0.24
0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.5739179595481805,1,0.24,4,-1.0,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.5019884225732507,0,0.24
