state_dir_bin,state_jugadores,state_pos_0,state_pos_1,state_pos_2,state_pos_3,state_pos_4,state_pos_5,state_pos_6,state_pos_7,state_pos_8,state_pos_9,state_velocidad,accion,recompensa,next_state_dir_bin,next_state_jugadores,next_state_pos_0,next_state_pos_1,next_state_pos_2,next_state_pos_3,next_state_pos_4,next_state_pos_5,next_state_pos_6,next_state_pos_7,next_state_pos_8,next_state_pos_9,next_state_velocidad
1,0.05,0.75,0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.52804929936508,-1,-1.0,0,0.05,0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.518958127816666
0,0.05,0.3055555555555556,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.518958127816666,1,35.0,1,0.05,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5348802444662529
1,0.05,0.3611111111111111,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5348802444662529,1,-1.0,0,0.6,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5809156133600887
0,0.6,0.5555555555555556,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5809156133600887,0,35.0,1,0.6,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.5044467451830907
1,0.6,0.7777777777777778,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.5044467451830907,0,-1.0,0,0.6,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.5152840791661784
0,0.6,0.75,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.5152840791661784,1,-1.0,1,0.6,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.43072327116708586
1,0.6,0.5555555555555556,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.43072327116708586,0,35.0,0,0.6,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.562342615624857
0,0.6,0.6944444444444444,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.562342615624857,0,-1.0,1,0.6,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.5547356991843194
1,0.6,0.6388888888888888,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.5547356991843194,1,-1.0,0,0.6,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.45323456758792424
0,0.6,0.0,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.45323456758792424,0,35.0,1,0.6,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.5388571068272016
